question_id,category,question_text,option_A,option_B,option_C,option_D,correct_answer,difficulty,graph_image_path,explanation
1,case_study,"A school plans to implement a digital attendance system, but some teachers are not comfortable using technology. What should be done?",Provide basic tech training,Ignore the teachers' concerns,Delay the system,Force all teachers to use it immediately,A,medium,,Training ensures smooth adoption and reduces resistance.
2,case_study,"A school plans to implement a digital attendance system, but some teachers are not comfortable using technology. What should be done?",Provide basic tech training,Ignore the teachers' concerns,Delay the system,Force all teachers to use it immediately,A,medium,,Training ensures smooth adoption and reduces resistance.
3,case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
4,case_study,A group of students is struggling to complete their assignment on time. Each member is unclear about their task. What should they do first?,Assign tasks clearly,Wait for help,Ask the teacher to extend the deadline,Let one person do everything,A,easy,,Clear task assignment is key to effective teamwork.
5,case_study,A group of students is struggling to complete their assignment on time. Each member is unclear about their task. What should they do first?,Assign tasks clearly,Wait for help,Ask the teacher to extend the deadline,Let one person do everything,A,easy,,Clear task assignment is key to effective teamwork.
6,case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
7,case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
8,case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
9,case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
10,case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
11,case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
12,case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
13,case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
14,case_study,A group of students is struggling to complete their assignment on time. Each member is unclear about their task. What should they do first?,Assign tasks clearly,Wait for help,Ask the teacher to extend the deadline,Let one person do everything,A,easy,,Clear task assignment is key to effective teamwork.
15,case_study,An NGO collects data on rural education using surveys but finds inconsistent responses. What's a better method?,Train surveyors and use digital tools,Ask fewer questions,Avoid data collection,Ignore inconsistencies,A,hard,,Well-trained staff and tools improve data quality.
16,case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
17,case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
18,case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
19,case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
20,case_study,"A school plans to implement a digital attendance system, but some teachers are not comfortable using technology. What should be done?",Provide basic tech training,Ignore the teachers' concerns,Delay the system,Force all teachers to use it immediately,A,medium,,Training ensures smooth adoption and reduces resistance.
21,case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
